antropologia;archeologia;2.0
Dell;Dingle;4.0
succo;cucchiaio;1.0
Pfizer;medicinale;2.7
camion;pacco;2.3
recettore;molecola proteica;2.5
Google Drive;driver;1.0
miliardario;senzatetto;1.1
episodio;capitolo;1.5
infinito;zero;2.0
servo;schiavo;3.3
suffisso;affisso;0.0
riscaldamento globale;calore;1.3
ormone della crescita;somatotropina;4.0
cielo;sogno;0.5
prezzo di offerta;Londra;1.1
fertilizzante;crescita;2.1
hashtag;argomento;3.0
Orione;costellazione;4.0
Nietzsche;Chelsea;0.0
rispetto reciproco;competizione;2.0
ramo;braccio;0.5
vittima;telefono;0.9
deviazione standard;accumulazione;2.5
valanga;neve;2.9
insegnante;studente;1.0
bestiame;yogurt;0.7
sessismo;discriminazione di genere;3.6
Polo Sud;danza;0.0
pubblico ministero;avvocato;1.0
racchetta;palla;2.0
mutuo;debito;3.9
prospettiva;distanza;2.0
Federer;Dylan;0.5
avvocato;galleria;0.0
aspettativa di vita;misura statistica;4.0
membrana cellulare;provirus;1.8
Unione Europea;Mosca;1.9
mondo;Asia;1.2
Paint;Photoshop;2.0
senato;costituzione;0.8
prezzemolo;muffin;1.0
mente;cervello;3.0
Mercedes;Opel;3.0
martello;dente;1.7
Rinascimento;Rinascimento;4.0
gonna;orologio;1.0
opera;cinema;0.8
insegnante;istruttore;3.2
Sole;cavo;0.0
